WARNING:root:Epoch 10: w =  1.870363, b =  0.494276
INFO:root:Epoch 1: w =  0.896246, b =  0.255089
INFO:root:Epoch 2: w =  1.362110, b =  0.385300
INFO:root:Epoch 3: w =  1.604532, b =  0.450698
INFO:root:Epoch 4: w =  1.730948, b =  0.482467
INFO:root:Epoch 5: w =  1.797133, b =  0.496797
INFO:root:Epoch 6: w =  1.832044, b =  0.502091
INFO:root:Epoch 7: w =  1.850713, b =  0.502714
INFO:root:Epoch 8: w =  1.860946, b =  0.500929
INFO:root:Epoch 9: w =  1.866795, b =  0.497913
INFO:root:Epoch 10: w =  1.870363, b =  0.494276
INFO:root:Epoch 1: w =  0.896246, b =  0.255089
INFO:root:Epoch 2: w =  1.362110, b =  0.385300
INFO:root:Epoch 3: w =  1.604532, b =  0.450698
INFO:root:Epoch 4: w =  1.730948, b =  0.482467
INFO:root:Epoch 5: w =  1.797133, b =  0.496797
INFO:root:Epoch 6: w =  1.832044, b =  0.502091
INFO:root:Epoch 7: w =  1.850713, b =  0.502714
INFO:root:Epoch 8: w =  1.860946, b =  0.500929
INFO:root:Epoch 9: w =  1.866795, b =  0.497913
INFO:root:Epoch 10: w =  1.870363, b =  0.494276
INFO:root:Epoch 1: w =  0.896246, b =  0.255089
INFO:root:Epoch 2: w =  1.362110, b =  0.385300
INFO:root:Epoch 3: w =  1.604532, b =  0.450698
INFO:root:Epoch 4: w =  1.730948, b =  0.482467
INFO:root:Epoch 5: w =  1.797133, b =  0.496797
INFO:root:Epoch 6: w =  1.832044, b =  0.502091
INFO:root:Epoch 7: w =  1.850713, b =  0.502714
INFO:root:Epoch 8: w =  1.860946, b =  0.500929
INFO:root:Epoch 9: w =  1.866795, b =  0.497913
INFO:root:Epoch 10: w =  1.870363, b =  0.494276
